record	quote	character	title	author	source_url	revision_id	retrieved_at
0	It told Jeremiah and Daniel and Amos and Abraham.		11/22/63	Stephen King	https://en.wikiquote.org/w/index.php?title=Stephen_King&oldid=3890651	3890651	2026-08-27T11:33:36+00:00
1	"Tell me why?" "I wear the chain I forged in life," replied the Ghost.		A Christmas Carol	Charles Dickens	https://en.wikiquote.org/w/index.php?title=A_Christmas_Carol&oldid=3976403	3976403	2026-08-27T11:33:17+00:00
2	"With the breakdown of the Medieval system, the gods of Chaos, Lunacy, and Bad Taste gained ascendancy."		A Confederacy of Dunces	John Kennedy Toole	https://en.wikiquote.org/w/index.php?title=John_Kennedy_Toole&oldid=3965377	3965377	2026-08-27T11:34:13+00:00
3	Personal relations are the important thing for ever and ever and not this outer life of telegrams and anger.		A Passage to India	E. M. Forster	https://en.wikiquote.org/w/index.php?title=E._M._Forster&oldid=3947410	3947410	2026-08-27T11:33:17+00:00
4	You talk to me of nationality, language, religion.		A Portrait of the Artist as a Young Man	James Joyce	https://en.wikiquote.org/w/index.php?title=A_Portrait_of_the_Artist_as_a_Young_Man&oldid=3588414	3588414	2026-08-27T11:33:25+00:00
5	I have always depended on the kindness of strangers.		A Streetcar Named Desire	Tennessee Williams	https://en.wikiquote.org/w/index.php?title=A_Streetcar_Named_Desire_(1951_film)&oldid=3718334	3718334	2026-08-27T11:34:09+00:00
6	What pastoral response acquits Those who made ovens for Auschwitz?		A Suitable Boy	Vikram Seth	https://en.wikiquote.org/w/index.php?title=Vikram_Seth&oldid=3851083	3851083	2026-08-27T11:33:51+00:00
7	Death is Nature's remedy for all things, and why not Legislation's?		A Tale of Two Cities	Charles Dickens	https://en.wikiquote.org/w/index.php?title=A_Tale_of_Two_Cities&oldid=3945673	3945673	2026-08-27T11:33:17+00:00
8	Just because we don't understand doesn't mean that the explanation doesn't exist.		A Wrinkle in Time	Madeleine L'Engle	https://en.wikiquote.org/w/index.php?title=Madeleine_L'Engle&oldid=3932636	3932636	2026-08-27T11:34:16+00:00
9	"Will you walk a little faster?" said a whiting to a snail.		Alice's Adventures in Wonderland	Lewis Carroll	https://en.wikiquote.org/w/index.php?title=Alice's_Adventures_in_Wonderland&oldid=3952630	3952630	2026-08-27T11:33:21+00:00
10	Ideas are more difficult to kill than people, but they can be killed, in the end.		American Gods	Neil Gaiman	https://en.wikiquote.org/w/index.php?title=American_Gods&oldid=3915400	3915400	2026-08-27T11:33:25+00:00
11	“Show a people as one thing, only one thing, over and over again, and that is what they become.”		Americanah	Chimamanda Ngozi Adichie	https://en.wikiquote.org/w/index.php?title=Chimamanda_Ngozi_Adichie&oldid=3978725	3978725	2026-08-27T11:33:39+00:00
12	Much of this work was of a kind that the other animals were too ignorant to understand.		Animal Farm	George Orwell	https://en.wikiquote.org/w/index.php?title=Animal_Farm&oldid=3952611	3952611	2026-08-27T11:28:56+00:00
13	Happy families are all alike; every unhappy family is unhappy in its own way.		Anna Karenina	Leo Tolstoy	https://en.wikiquote.org/w/index.php?title=Anna_Karenina&oldid=3952640	3952640	2026-08-27T11:33:39+00:00
14	Oh, this is the most tragical thing that has ever happened to me!		Anne of Green Gables	L. M. Montgomery	https://en.wikiquote.org/w/index.php?title=Anne_of_Green_Gables&oldid=3952638	3952638	2026-08-27T11:33:36+00:00
15	The Earth does not want new continents, but new men.		Around the World in Eighty Days	Jules Verne	https://en.wikiquote.org/w/index.php?title=Jules_Verne&oldid=3703573	3703573	2026-08-27T11:33:43+00:00
16	Behaviour that's admired is the path to power among people everywhere.		Beowulf	Anonymous	https://en.wikiquote.org/w/index.php?title=Beowulf&oldid=3924672	3924672	2026-08-27T11:34:09+00:00
17	The one great principle of the English law is to make business for itself.		Bleak House	Charles Dickens	https://en.wikiquote.org/w/index.php?title=Bleak_House&oldid=3940783	3940783	2026-08-27T11:33:17+00:00
18	He never sleeps, the judge. He is dancing, dancing. He says that he will never die.		Blood Meridian	Cormac McCarthy	https://en.wikiquote.org/w/index.php?title=Blood_Meridian&oldid=3965838	3965838	2026-08-27T11:33:32+00:00
19	In a properly organized society like ours, nobody has any opportunities for being noble or heroic.		Brave New World	Aldous Huxley	https://en.wikiquote.org/w/index.php?title=Brave_New_World&oldid=3915179	3915179	2026-08-27T11:28:57+00:00
20	To know and love one other human being is the root of all wisdom.		Brideshead Revisited	Evelyn Waugh	https://en.wikiquote.org/w/index.php?title=Evelyn_Waugh&oldid=3912500	3912500	2026-08-27T11:33:17+00:00
21	"Excellently observed," answered Candide; "but let us cultivate our garden."		Candide	Voltaire	https://en.wikiquote.org/w/index.php?title=Candide&oldid=3611571	3611571	2026-08-27T11:33:43+00:00
22	“She said his mind was turned to the biggest music there was, the music of the stars.”		Cat's Cradle	Kurt Vonnegut	https://en.wikiquote.org/w/index.php?title=Cat's_Cradle&oldid=3948378	3948378	2026-08-27T11:33:32+00:00
