wikiquote_page	title	author	era	region
Nineteen Eighty-Four	Nineteen Eighty-Four	George Orwell	20c	British
Animal Farm	Animal Farm	George Orwell	20c	British
Brave New World	Brave New World	Aldous Huxley	20c	British
Pride and Prejudice	Pride and Prejudice	Jane Austen	19c	British
Emma (novel)	Emma	Jane Austen	19c	British
Persuasion (novel)	Persuasion	Jane Austen	19c	British
Sense and Sensibility	Sense and Sensibility	Jane Austen	19c	British
Jane Eyre	Jane Eyre	Charlotte Brontë	19c	British
Wuthering Heights	Wuthering Heights	Emily Brontë	19c	British
Middlemarch	Middlemarch	George Eliot	19c	British
Great Expectations	Great Expectations	Charles Dickens	19c	British
A Tale of Two Cities	A Tale of Two Cities	Charles Dickens	19c	British
Bleak House	Bleak House	Charles Dickens	19c	British
David Copperfield	David Copperfield	Charles Dickens	19c	British
Oliver Twist	Oliver Twist	Charles Dickens	19c	British
A Christmas Carol	A Christmas Carol	Charles Dickens	19c	British
Frankenstein	Frankenstein	Mary Shelley	19c	British
Dracula	Dracula	Bram Stoker	19c	Irish
The Picture of Dorian Gray	The Picture of Dorian Gray	Oscar Wilde	19c	Irish
The Importance of Being Earnest	The Importance of Being Earnest	Oscar Wilde	19c	Irish
Heart of Darkness	Heart of Darkness	Joseph Conrad	20c	British
Lord Jim	Lord Jim	Joseph Conrad	20c	British
Lord of the Flies	Lord of the Flies	William Golding	20c	British
Brideshead Revisited	Brideshead Revisited	Evelyn Waugh	20c	British
A Room with a View	A Room with a View	E. M. Forster	20c	British
Howards End	Howards End	E. M. Forster	20c	British
A Passage to India	A Passage to India	E. M. Forster	20c	British
Mrs Dalloway	Mrs Dalloway	Virginia Woolf	20c	British
To the Lighthouse	To the Lighthouse	Virginia Woolf	20c	British
Orlando: A Biography	Orlando	Virginia Woolf	20c	British
A Room of One's Own	A Room of One's Own	Virginia Woolf	20c	British
Rebecca (novel)	Rebecca	Daphne du Maurier	20c	British
The Remains of the Day	The Remains of the Day	Kazuo Ishiguro	20c	British
Never Let Me Go (novel)	Never Let Me Go	Kazuo Ishiguro	21c	British
Atonement (novel)	Atonement	Ian McEwan	21c	British
Cloud Atlas (novel)	Cloud Atlas	David Mitchell	21c	British
The Sea, the Sea	The Sea, the Sea	Iris Murdoch	20c	British
Tess of the d'Urbervilles	Tess of the d'Urbervilles	Thomas Hardy	19c	British
Far from the Madding Crowd	Far from the Madding Crowd	Thomas Hardy	19c	British
Jude the Obscure	Jude the Obscure	Thomas Hardy	19c	British
Vanity Fair (novel)	Vanity Fair	William Makepeace Thackeray	19c	British
Gulliver's Travels	Gulliver's Travels	Jonathan Swift	18c	Irish
Robinson Crusoe	Robinson Crusoe	Daniel Defoe	18c	British
Treasure Island	Treasure Island	Robert Louis Stevenson	19c	Scottish
Strange Case of Dr Jekyll and Mr Hyde	Strange Case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson	19c	Scottish
Alice's Adventures in Wonderland	Alice's Adventures in Wonderland	Lewis Carroll	19c	British
Through the Looking-Glass	Through the Looking-Glass	Lewis Carroll	19c	British
The Wind in the Willows	The Wind in the Willows	Kenneth Grahame	20c	British
Peter Pan	Peter Pan	J. M. Barrie	20c	Scottish
Winnie-the-Pooh	Winnie-the-Pooh	A. A. Milne	20c	British
The Hobbit	The Hobbit	J. R. R. Tolkien	20c	British
The Lord of the Rings	The Lord of the Rings	J. R. R. Tolkien	20c	British
The Lion, the Witch and the Wardrobe	The Lion, the Witch and the Wardrobe	C. S. Lewis	20c	British
The Chronicles of Narnia	The Chronicles of Narnia	C. S. Lewis	20c	British
Watership Down	Watership Down	Richard Adams	20c	British
The Once and Future King	The Once and Future King	T. H. White	20c	British
Matilda (novel)	Matilda	Roald Dahl	20c	British
Charlie and the Chocolate Factory	Charlie and the Chocolate Factory	Roald Dahl	20c	British
His Dark Materials	His Dark Materials	Philip Pullman	20c	British
Harry Potter and the Philosopher's Stone	Harry Potter and the Philosopher's Stone	J. K. Rowling	21c	British
Harry Potter and the Prisoner of Azkaban	Harry Potter and the Prisoner of Azkaban	J. K. Rowling	21c	British
Good Omens	Good Omens	Terry Pratchett and Neil Gaiman	20c	British
Small Gods	Small Gods	Terry Pratchett	20c	British
Mort	Mort	Terry Pratchett	20c	British
Night Watch (Discworld)	Night Watch	Terry Pratchett	21c	British
